target_IL,target_OL,target_RPS,experiment_IL,experiment_OL,config_matches,max_sustainable_rps,instances_needed,capacity_per_instance,total_capacity,utilization,test_name,scenario,valid,warning
4000.0,100.0,21.0,4000.0,100.0,True,7.0,3,7.0,21.0,100.0,4K_100,vary_RPS,True,
4000.0,100.0,35.0,4000.0,100.0,True,7.0,5,7.0,35.0,100.0,4K_100,vary_RPS,True,
4000.0,50.0,7.0,4000.0,100.0,False,7.0,1,7.0,7.0,100.0,4K_100,vary_OL,False,Different OL - estimate assumes same performance characteristics
4000.0,100.0,7.0,4000.0,100.0,True,7.0,1,7.0,7.0,100.0,4K_100,vary_OL,False,Different OL - estimate assumes same performance characteristics
4000.0,150.0,7.0,4000.0,100.0,False,7.0,1,7.0,7.0,100.0,4K_100,vary_OL,False,Different OL - estimate assumes same performance characteristics
4000.0,200.0,7.0,4000.0,100.0,False,7.0,1,7.0,7.0,100.0,4K_100,vary_OL,False,Different OL - estimate assumes same performance characteristics
2000.0,100.0,7.0,4000.0,100.0,False,7.0,1,7.0,7.0,100.0,4K_100,vary_IL,False,Different IL - estimate assumes same performance characteristics
4000.0,100.0,7.0,4000.0,100.0,True,7.0,1,7.0,7.0,100.0,4K_100,vary_IL,False,Different IL - estimate assumes same performance characteristics
6000.0,100.0,7.0,4000.0,100.0,False,7.0,1,7.0,7.0,100.0,4K_100,vary_IL,False,Different IL - estimate assumes same performance characteristics
8000.0,100.0,7.0,4000.0,100.0,False,7.0,1,7.0,7.0,100.0,4K_100,vary_IL,False,Different IL - estimate assumes same performance characteristics
400.0,400.0,16.25,400.0,400.0,True,32.5,1,32.5,32.5,50.0,400_400,vary_RPS,True,
400.0,400.0,32.5,400.0,400.0,True,32.5,1,32.5,32.5,100.0,400_400,vary_RPS,True,
400.0,400.0,48.75,400.0,400.0,True,32.5,2,32.5,65.0,75.0,400_400,vary_RPS,True,
400.0,400.0,65.0,400.0,400.0,True,32.5,2,32.5,65.0,100.0,400_400,vary_RPS,True,
400.0,400.0,97.5,400.0,400.0,True,32.5,3,32.5,97.5,100.0,400_400,vary_RPS,True,
400.0,400.0,162.5,400.0,400.0,True,32.5,5,32.5,162.5,100.0,400_400,vary_RPS,True,
400.0,200.0,32.5,400.0,400.0,False,32.5,1,32.5,32.5,100.0,400_400,vary_OL,False,Different OL - estimate assumes same performance characteristics
400.0,400.0,32.5,400.0,400.0,True,32.5,1,32.5,32.5,100.0,400_400,vary_OL,False,Different OL - estimate assumes same performance characteristics
400.0,600.0,32.5,400.0,400.0,False,32.5,1,32.5,32.5,100.0,400_400,vary_OL,False,Different OL - estimate assumes same performance characteristics
400.0,800.0,32.5,400.0,400.0,False,32.5,1,32.5,32.5,100.0,400_400,vary_OL,False,Different OL - estimate assumes same performance characteristics
200.0,400.0,32.5,400.0,400.0,False,32.5,1,32.5,32.5,100.0,400_400,vary_IL,False,Different IL - estimate assumes same performance characteristics
400.0,400.0,32.5,400.0,400.0,True,32.5,1,32.5,32.5,100.0,400_400,vary_IL,False,Different IL - estimate assumes same performance characteristics
600.0,400.0,32.5,400.0,400.0,False,32.5,1,32.5,32.5,100.0,400_400,vary_IL,False,Different IL - estimate assumes same performance characteristics
800.0,400.0,32.5,400.0,400.0,False,32.5,1,32.5,32.5,100.0,400_400,vary_IL,False,Different IL - estimate assumes same performance characteristics
20.0,1600.0,2.5,20.0,1600.0,True,5.0,1,5.0,5.0,50.0,20_2-3K,vary_RPS,True,
20.0,1600.0,5.0,20.0,1600.0,True,5.0,1,5.0,5.0,100.0,20_2-3K,vary_RPS,True,
20.0,1600.0,7.5,20.0,1600.0,True,5.0,2,5.0,10.0,75.0,20_2-3K,vary_RPS,True,
20.0,1600.0,10.0,20.0,1600.0,True,5.0,2,5.0,10.0,100.0,20_2-3K,vary_RPS,True,
20.0,1600.0,15.0,20.0,1600.0,True,5.0,3,5.0,15.0,100.0,20_2-3K,vary_RPS,True,
20.0,1600.0,25.0,20.0,1600.0,True,5.0,5,5.0,25.0,100.0,20_2-3K,vary_RPS,True,
20.0,800.0,5.0,20.0,1600.0,False,5.0,1,5.0,5.0,100.0,20_2-3K,vary_OL,False,Different OL - estimate assumes same performance characteristics
20.0,1600.0,5.0,20.0,1600.0,True,5.0,1,5.0,5.0,100.0,20_2-3K,vary_OL,False,Different OL - estimate assumes same performance characteristics
20.0,2400.0,5.0,20.0,1600.0,False,5.0,1,5.0,5.0,100.0,20_2-3K,vary_OL,False,Different OL - estimate assumes same performance characteristics
20.0,3200.0,5.0,20.0,1600.0,False,5.0,1,5.0,5.0,100.0,20_2-3K,vary_OL,False,Different OL - estimate assumes same performance characteristics
10.0,1600.0,5.0,20.0,1600.0,False,5.0,1,5.0,5.0,100.0,20_2-3K,vary_IL,False,Different IL - estimate assumes same performance characteristics
20.0,1600.0,5.0,20.0,1600.0,True,5.0,1,5.0,5.0,100.0,20_2-3K,vary_IL,False,Different IL - estimate assumes same performance characteristics
